,LOAN IDENTIFIER,ORIGINATION CHANNEL,SELLER NAME,ORIGINAL INTEREST RATE,ORIGINAL UPB,ORIGINAL LOAN TERM,ORIGINATION DATE,FIRST PAYMENT DATE,ORIGINAL LOAN-TO-VALUE (LTV),ORIGINAL COMBINED LOAN-TO-VALUE (CLTV),NUMBER OF BORROWERS,ORIGINAL DEBT TO INCOME RATIO,BORROWER CREDIT SCORE AT ORIGINATION,FIRST TIME HOME BUYER INDICATOR,LOAN PURPOSE,PROPERTY TYPE,NUMBER OF UNITS,OCCUPANCY TYPE,PROPERTY STATE,ZIP CODE SHORT,PRIMARY MORTGAGE INSURANCE PERCENT,PRODUCT TYPE,CO-BORROWER CREDIT SCORE AT ORIGINATION,MORTGAGE INSURANCE TYPE,RELOCATION MORTGAGE INDICATOR,LOAN_COUNT,VINTAGE_YEAR,VINTAGE_MONTH,LTV_BUCKET,UPB_BUCKET,FICO_BUCKET,TERM_BUCKET,INT_RT_BUCKET
0,100008626061,R,OTHER,4.375,515000,360,03/2017,05/2017,95,95,2,28,780.0,Y,P,SF,1,P,CA,921,30.0,FRM,791.0,1.0,N,1,2017,3,90,500000,750.0,360,4.375
1,100010363569,R,"CITIMORTGAGE, INC.",4.25,250000,360,04/2017,06/2017,61,61,1,34,757.0,Y,P,CP,1,P,NY,100,,FRM,,,N,1,2017,4,60,250000,750.0,360,4.25
2,100012442387,C,"AMERIHOME MORTGAGE COMPANY, LLC",4.75,257000,360,04/2017,06/2017,95,95,1,43,723.0,Y,P,PU,1,P,FL,331,30.0,FRM,,1.0,N,1,2017,4,90,250000,700.0,360,4.75
3,100012535712,R,OTHER,4.625,242000,360,04/2017,06/2017,90,90,1,30,738.0,Y,P,SF,1,P,MN,554,25.0,FRM,,2.0,N,1,2017,4,90,200000,700.0,360,4.625
4,100017029207,R,QUICKEN LOANS INC.,4.875,636000,360,05/2017,07/2017,69,69,1,44,758.0,N,P,PU,1,I,CA,913,,FRM,,,N,1,2017,5,60,600000,750.0,360,4.875
5,100017594598,C,FRANKLIN AMERICAN MORTGAGE COMPANY,4.0,288000,360,06/2017,08/2017,80,80,2,41,735.0,N,P,PU,1,P,TN,371,,FRM,756.0,,N,1,2017,6,80,250000,700.0,360,4.0
6,100023610834,C,U.S. BANK N.A.,4.375,156000,360,04/2017,06/2017,95,95,1,37,751.0,N,P,SF,1,P,WI,541,30.0,FRM,,1.0,N,1,2017,4,90,150000,750.0,360,4.375
7,100026020399,R,QUICKEN LOANS INC.,4.25,391000,360,03/2017,05/2017,85,85,2,41,724.0,N,P,SF,2,P,MA,21,12.0,FRM,731.0,1.0,N,1,2017,3,80,350000,700.0,360,4.25
8,100028443582,R,"WELLS FARGO BANK, N.A.",4.125,347000,360,04/2017,06/2017,95,95,2,43,766.0,Y,P,SF,1,P,MN,553,30.0,FRM,799.0,1.0,N,1,2017,4,90,300000,750.0,360,4.125
9,100029486418,R,OTHER,3.5,122000,180,04/2017,06/2017,35,35,2,43,678.0,N,R,SF,1,P,MN,553,,FRM,807.0,,N,1,2017,4,30,100000,650.0,180,3.5
10,100032955878,C,"NATIONSTAR MORTGAGE, LLC",4.5,138000,360,03/2017,05/2017,95,95,2,27,755.0,Y,P,PU,1,P,IN,468,30.0,FRM,688.0,1.0,N,1,2017,3,90,100000,750.0,360,4.5
11,100033245150,C,"WELLS FARGO BANK, N.A.",3.5,170000,180,02/2017,04/2017,78,78,2,20,811.0,N,P,SF,1,P,AR,728,,FRM,808.0,,N,1,2017,2,70,150000,800.0,180,3.5
12,100033814697,R,FAIRWAY INDEPENDENT MORTGAGE CORPORATION,3.375,352000,180,03/2017,05/2017,95,95,2,42,670.0,N,P,SF,1,P,GA,306,25.0,FRM,651.0,1.0,N,1,2017,3,90,350000,650.0,180,3.375
13,100040363842,R,"WELLS FARGO BANK, N.A.",4.375,260000,360,04/2017,06/2017,80,80,2,40,736.0,N,P,CO,1,S,NY,144,,FRM,726.0,,N,1,2017,4,80,250000,700.0,360,4.375
14,100041017893,R,"FLAGSTAR BANK, FSB",4.058,99000,180,02/2017,04/2017,53,53,2,28,661.0,N,R,SF,1,P,TX,760,,FRM,667.0,,N,1,2017,2,50,50000,650.0,180,4.0
15,100041115881,B,PENNYMAC CORP.,3.5,215000,180,03/2017,05/2017,30,30,1,40,797.0,N,R,SF,1,P,CA,928,,FRM,,,N,1,2017,3,30,200000,750.0,180,3.5
16,100045187036,R,OTHER,4.375,152000,360,03/2017,05/2017,95,95,2,16,718.0,N,P,SF,1,P,ID,837,30.0,FRM,730.0,1.0,N,1,2017,3,90,150000,700.0,360,4.375
17,100049305723,R,OTHER,4.5,94000,360,04/2017,06/2017,63,63,1,33,763.0,N,R,PU,1,P,TX,782,,FRM,,,N,1,2017,4,60,50000,750.0,360,4.5
18,100050882069,R,OTHER,4.25,75000,360,05/2017,07/2017,70,70,1,47,754.0,Y,P,SF,1,P,IL,610,,FRM,,,N,1,2017,5,70,50000,750.0,360,4.25
19,100053748728,C,"WELLS FARGO BANK, N.A.",4.25,264000,360,02/2017,04/2017,57,57,1,49,710.0,N,R,PU,1,P,CA,945,,FRM,,,N,1,2017,2,50,250000,700.0,360,4.25
20,100056160718,R,"WELLS FARGO BANK, N.A.",4.625,110000,360,05/2017,07/2017,75,75,1,44,685.0,N,P,CO,1,P,IA,524,,FRM,,,N,1,2017,5,70,100000,650.0,360,4.625
21,100061483649,R,OTHER,4.25,106000,360,04/2017,06/2017,90,90,1,38,724.0,Y,P,SF,1,P,WI,535,25.0,FRM,,1.0,N,1,2017,4,90,100000,700.0,360,4.25
22,100062379908,B,OTHER,4.5,328000,360,04/2017,06/2017,95,95,2,34,751.0,Y,P,CO,1,P,CA,903,30.0,FRM,784.0,1.0,N,1,2017,4,90,300000,750.0,360,4.5
23,100065824998,R,OTHER,4.25,105000,360,05/2017,07/2017,32,32,2,22,758.0,N,R,PU,1,P,AZ,853,,FRM,752.0,,N,1,2017,5,30,100000,750.0,360,4.25
24,100067748602,R,QUICKEN LOANS INC.,4.18,220000,360,05/2017,07/2017,38,38,2,34,756.0,N,C,SF,1,P,CA,957,,FRM,757.0,,N,1,2017,5,30,200000,750.0,360,4.125
25,100070348987,R,OTHER,4.25,75000,360,05/2017,07/2017,56,56,1,41,789.0,N,R,SF,1,P,WA,985,,FRM,,,N,1,2017,5,50,50000,750.0,360,4.25
26,100071342320,R,FAIRWAY INDEPENDENT MORTGAGE CORPORATION,4.25,331000,360,04/2017,06/2017,90,90,1,28,712.0,N,P,PU,1,S,AZ,852,25.0,FRM,,1.0,N,1,2017,4,90,300000,700.0,360,4.25
27,100072308552,R,QUICKEN LOANS INC.,4.125,380000,360,03/2017,05/2017,95,95,2,41,720.0,N,P,PU,1,P,GA,308,30.0,FRM,754.0,1.0,N,1,2017,3,90,350000,700.0,360,4.125
28,100074319231,R,OTHER,3.5,166000,180,03/2017,05/2017,27,27,2,38,811.0,N,R,CO,1,P,FL,321,,FRM,811.0,,N,1,2017,3,20,150000,800.0,180,3.5
